player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Jean-Kévin Augustin,fr FRA,FW,RB Leipzig,21,1997,5.1,2,0,0,0,2,0,1,0.0,1,6,0,6,3,5,0,0,Matches
Ludwig Augustinsson,se SWE,DF,Werder Bremen,24,1994,33.6,53,31,25,22,6,23,39,59.0,16,37,11,26,38,91,86,1,Matches
Kaan Ayhan,tr TUR,DF,Düsseldorf,23,1994,27.2,53,29,38,15,0,23,47,48.9,24,34,16,18,59,112,118,3,Matches
Florian Baak,de GER,MF,Hertha BSC,19,1999,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Holger Badstuber,de GER,DF,Stuttgart,29,1989,5.8,12,4,8,4,0,7,8,87.5,1,6,2,4,9,21,21,1,Matches
Daniel Baier,de GER,MF,Augsburg,34,1984,31.3,62,39,21,37,4,24,66,36.4,42,27,8,19,60,122,48,2,Matches
Leon Bailey,jm JAM,FW,Leverkusen,20,1997,21.3,15,11,9,2,4,6,20,30.0,14,20,0,20,14,29,11,0,Matches
Marvin Bakalorz,de GER,MF,Hannover 96,28,1989,16.3,18,11,7,9,2,6,36,16.7,30,29,4,25,28,46,47,0,Matches
Ridle Baku,de GER,MF,Mainz 05,20,1998,10.4,18,9,6,9,3,2,7,28.6,5,13,1,12,8,26,9,0,Matches
Philipp Bargfrede,de GER,"MF,DF",Werder Bremen,29,1989,12.0,23,15,9,12,2,10,28,35.7,18,35,11,24,34,57,45,1,Matches
Aymen Barkok,ma MAR,MF,Düsseldorf,20,1998,5.7,13,6,4,9,0,4,19,21.1,15,8,1,7,4,17,3,0,Matches
Leandro Barreiro Martins,lu LUX,MF,Mainz 05,18,2000,1.0,4,4,2,0,2,1,2,50.0,1,0,0,0,2,6,1,0,Matches
Fin Bartels,de GER,"MF,FW",Werder Bremen,31,1987,0.3,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,Matches
Robert Bauer,de GER,DF,Nürnberg,23,1995,19.1,48,29,32,13,3,20,39,51.3,19,19,5,14,28,76,80,0,Matches
Oliver Baumann,de GER,GK,Hoffenheim,28,1990,33.0,0,0,0,0,0,0,0,,0,0,0,0,2,2,11,5,Matches
Timo Baumgartl,de GER,DF,Stuttgart,22,1996,18.0,33,23,21,12,0,11,19,57.9,8,31,22,9,26,59,100,0,Matches
Julian Baumgartlinger,at AUT,MF,Leverkusen,30,1988,17.3,52,30,24,20,8,20,45,44.4,25,18,6,12,26,78,21,1,Matches
Christoph Baumgartner,at AUT,MF,Hoffenheim,18,1999,0.9,1,0,0,0,1,1,3,33.3,2,2,0,2,0,1,0,0,Matches
Noah Joel Sarenren Bazee,ng NGA,"FW,MF",Hannover 96,21,1996,1.7,0,0,0,0,0,0,0,,0,1,0,1,0,0,3,0,Matches
Ihlas Bebou,tg TOG,"MF,FW",Hannover 96,24,1994,11.8,15,9,4,10,1,4,9,44.4,5,18,2,16,9,24,9,0,Matches
Uffe Bech,dk DEN,FW,Hannover 96,25,1993,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
Andreas Beck,de GER,DF,Stuttgart,31,1987,19.7,35,19,17,17,1,11,27,40.7,16,32,6,26,22,57,54,0,Matches
